timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784302052.3739548,flink_w1-flink-identity-1,1.04%,394.5MiB / 31.28GiB,4.98MB / 19.2MB,50.1MB / 28.3MB
1784302052.3739548,stream-state-bench-flink-kafka,2.61%,758.3MiB / 31.28GiB,24MB / 26.8MB,20.5kB / 65.2MB
1784302069.4094486,flink_w1-flink-identity-1,1.18%,394.6MiB / 31.28GiB,5.06MB / 19.5MB,50.1MB / 28.3MB
1784302069.4094486,stream-state-bench-flink-kafka,1.61%,757.4MiB / 31.28GiB,24.4MB / 27.2MB,20.5kB / 66.1MB
1784302085.53012,flink_w1-flink-identity-1,1.14%,394.6MiB / 31.28GiB,5.14MB / 19.8MB,50.1MB / 28.4MB
1784302085.53012,stream-state-bench-flink-kafka,1.65%,757.5MiB / 31.28GiB,24.7MB / 27.6MB,20.5kB / 66.9MB
1784302102.5578449,flink_w1-flink-identity-1,1.19%,394.6MiB / 31.28GiB,5.21MB / 20MB,50.1MB / 28.5MB
1784302102.5578449,stream-state-bench-flink-kafka,31.84%,760.1MiB / 31.28GiB,25.1MB / 28MB,20.5kB / 67.7MB
1784302119.5839303,flink_w1-flink-identity-1,1.15%,394.6MiB / 31.28GiB,5.29MB / 20.3MB,50.1MB / 28.6MB
1784302119.5839303,stream-state-bench-flink-kafka,6.60%,760.6MiB / 31.28GiB,25.5MB / 28.5MB,20.5kB / 68.4MB
1784302136.6118956,flink_w1-flink-identity-1,1.16%,394.6MiB / 31.28GiB,5.37MB / 20.6MB,50.1MB / 28.6MB
1784302136.6118956,stream-state-bench-flink-kafka,1.59%,759.2MiB / 31.28GiB,25.8MB / 28.9MB,20.5kB / 68.7MB
1784302152.9743462,flink_w1-flink-identity-1,1.29%,394.6MiB / 31.28GiB,5.45MB / 20.9MB,50.1MB / 28.7MB
1784302152.9743462,stream-state-bench-flink-kafka,1.63%,761.5MiB / 31.28GiB,26.2MB / 29.3MB,20.5kB / 69.6MB
1784302169.9986668,flink_w1-flink-identity-1,1.17%,394.6MiB / 31.28GiB,5.52MB / 21.2MB,50.1MB / 28.8MB
1784302169.9986668,stream-state-bench-flink-kafka,1.77%,759.5MiB / 31.28GiB,26.6MB / 29.7MB,20.5kB / 70.7MB
1784302187.0381937,flink_w1-flink-identity-1,1.36%,394.6MiB / 31.28GiB,5.61MB / 21.5MB,50.1MB / 28.9MB
1784302187.0381937,stream-state-bench-flink-kafka,1.67%,759.6MiB / 31.28GiB,26.9MB / 30.1MB,20.5kB / 71.5MB
1784302204.0647857,flink_w1-flink-identity-1,1.83%,394.7MiB / 31.28GiB,5.69MB / 21.8MB,50.1MB / 29MB
1784302204.0647857,stream-state-bench-flink-kafka,4.40%,761MiB / 31.28GiB,27.3MB / 30.6MB,20.5kB / 72.3MB
1784302220.4353669,flink_w1-flink-identity-1,1.18%,394.7MiB / 31.28GiB,5.77MB / 22.1MB,50.1MB / 29.1MB
1784302220.4353669,stream-state-bench-flink-kafka,1.69%,759.8MiB / 31.28GiB,27.7MB / 31MB,20.5kB / 73.3MB
1784302236.463075,flink_w1-flink-identity-1,1.17%,394.7MiB / 31.28GiB,5.84MB / 22.4MB,50.1MB / 29.2MB
1784302236.463075,stream-state-bench-flink-kafka,57.78%,760.8MiB / 31.28GiB,28MB / 31.4MB,20.5kB / 73.6MB
1784302253.491034,flink_w1-flink-identity-1,1.24%,394.7MiB / 31.28GiB,5.92MB / 22.7MB,50.1MB / 29.2MB
1784302253.491034,stream-state-bench-flink-kafka,1.95%,760.2MiB / 31.28GiB,28.4MB / 31.8MB,20.5kB / 74.4MB
1784302270.517875,flink_w1-flink-identity-1,1.23%,394.8MiB / 31.28GiB,6MB / 23MB,50.1MB / 29.3MB
1784302270.517875,stream-state-bench-flink-kafka,4.50%,760.2MiB / 31.28GiB,28.8MB / 32.2MB,20.5kB / 74.9MB
1784302286.8617947,flink_w1-flink-identity-1,1.23%,394.8MiB / 31.28GiB,6.08MB / 23.3MB,50.1MB / 29.4MB
1784302286.8617947,stream-state-bench-flink-kafka,1.75%,760.1MiB / 31.28GiB,29.1MB / 32.6MB,20.5kB / 75.9MB
1784302303.88815,flink_w1-flink-identity-1,1.30%,394.8MiB / 31.28GiB,6.15MB / 23.6MB,50.1MB / 29.5MB
1784302303.88815,stream-state-bench-flink-kafka,43.10%,760.5MiB / 31.28GiB,29.5MB / 33.1MB,20.5kB / 76.9MB
