event_id,send_time_ns,receive_time_ns,latency_ms
ss-55-420000,849434455864069,849436315841105,1859.977
ss-57-420000,849434030874812,849436315841485,2284.967
ss-58-420000,849433830859591,849436315858635,2484.999
ss-59-420000,849434130850597,849436315859035,2185.008
ss-6-420000,849432755895480,849436315861805,3559.966
ss-62-420000,849433605886144,849436315878675,2709.993
ss-63-420000,849434330865328,849436315880985,1985.016
ss-64-420000,849432480874371,849436315886215,3835.012
ss-68-420000,849433181049578,849436315896895,3134.847
ss-69-420000,849432880883332,849436315908825,3435.025
ss-7-420000,849434205860176,849436315912165,2110.052
ss-70-420000,849434480871946,849436315925845,1835.054
ss-71-420000,849432930883404,849436315942455,3385.059
ss-72-420000,849433105897378,849436315942935,3210.046
ss-73-420000,849434005879756,849436315968795,2310.089
ss-74-420000,849433805878605,849436315969465,2510.091
ss-75-420000,849434705867073,849436315969905,1610.103
ss-76-420000,849433780888678,849436315983175,2535.094
ss-77-420000,849433480876533,849436315995545,2835.119
ss-79-420000,849433130887605,849436315995955,3185.108
ss-8-420000,849433930852526,849436316021705,2385.169
ss-80-420000,849432680884161,849436316022345,3635.138
ss-83-420000,849432355893709,849436316031085,3960.137
ss-84-420000,849434655870010,849436316041105,1660.171
ss-85-420000,849434080869205,849436316050195,2235.181
ss-87-420000,849432955875021,849436316050575,3360.176
ss-88-420000,849433755893262,849436316063775,2560.171
ss-89-420000,849433905864390,849436316073156,2410.209
ss-9-420000,849432380889506,849436316073636,3935.184
ss-90-420000,849434505896792,849436316084476,1810.188
ss-91-420000,849434055854038,849436316109126,2260.255
ss-93-420000,849433955868013,849436316109986,2360.242
ss-96-420000,849433555859952,849436316110426,2760.25
ss-97-420000,849433680888783,849436316115506,2635.227
ss-98-420000,849434230858943,849436316125906,2085.267
ss-99-420000,849433330889295,849436316138806,2985.25
ss-0-480000,849434755880075,849436316139216,1560.259
ss-1-480000,849434680868896,849436316152396,1635.284
ss-10-480000,849434605855507,849436316176636,1710.321
ss-11-480000,849433855857397,849436318657802,2462.8
ss-12-480000,849433055882526,849436318658942,3262.776
ss-13-480000,849432980883087,849436318664732,3337.782
ss-14-480000,849434180889520,849436318668392,2137.779
ss-15-480000,849433505867989,849436318668772,2812.801
ss-16-480000,849434255858549,849436318717532,2062.859
ss-17-480000,849434430892953,849436318718372,1887.825
ss-19-480000,849434630870964,849436318718832,1687.848
ss-2-480000,849434105853401,849436318719242,2212.866
ss-21-480000,849434355880144,849436318724472,1962.844
ss-23-480000,849433305909039,849436318724892,3012.816
ss-24-480000,849433030892519,849436318741522,3287.849
ss-28-480000,849432780927817,849436318741872,3537.814
ss-29-480000,849434580861661,849436318742123,1737.88
ss-31-480000,849434280853895,849436318760493,2037.907
ss-33-480000,849434730841839,849436318765353,1587.924
ss-34-480000,849433880856324,849436318793063,2437.937
ss-35-480000,849434405892477,849436318794093,1912.902
ss-38-480000,849433380870858,849436318805813,2937.935
ss-39-480000,849433980855269,849436318806173,2337.951
ss-4-480000,849432505870717,849436318809213,3812.938
ss-40-480000,849433730876676,849436318810563,2587.934
ss-41-480000,849432306620669,849436318826893,4012.206
ss-43-480000,849433430872910,849436318827263,2887.954
ss-45-480000,849434530870808,849436318900093,1788.029
ss-46-480000,849432430867298,849436318900963,3888.034
ss-48-480000,849434555858905,849436318901373,1763.042
